int	int	string	string	string	int	string
1929	9	test058	Ridiculous	无常识		
1930	9	test059	Insane	疯狂		
1931	9	test060	Gloomy	忧郁		
1932	9	test061	Sexy	性感		
1933	9	test062	Teacher	教师		
1934	9	test063	Tough	硬汉		
1935	9	test064	Sentimental	痴情		
1936	9	test065	Gambler	赌徒		
1937	9	test066	Spy	间谍		
1938	9	test067	Amnesiac	失忆		
1939	9	test068	Doctor	医生		
1940	9	test069	Material	拜金		
1941	9	test070	Elder	长者		
1942	9	test071	Naïve	天真		
1943	9	test072	Schemer	阴谋家		
1944	9	test073	Starlet	童星		
1945	9	test074	Decadent	颓废		
1946	9	test075	Scholar	学者		
1947	9	test076	Journalist	记者		
1948	9	test077	Kung Fu	功夫		
1949	9	test078	Politician	政客		
2001	10	test079	Male	男性		
2002	10	test080	Female	女性		
2003	10	test081	Children	儿童		
2101	11	test082	Protagonist	主角		
2102	11	test083	Hero	男主角		
2103	11	test084	Heroine	女主角		
2104	11	test085	Costar	配角		
2105	11	test086	Male Costar	男配角		
2106	11	test087	Female Costar	女配角		
2107	11	test088	Villain	反派		
2201	12	dance	Dance	歌舞		
2202	12	romance	Romance	爱情		
2203	12	comedy	Comedy	喜剧		
2204	12	feature	Drama	叙事		
2205	12	action	Action	动作		
2206	12	horror	Horror	恐怖		
2207	12	cartoon	Cartoon	动画		
2208	12	suspense	Suspense	悬疑		
2301	13	secondary_property	Secondary_property	次要属性		
2302	13	main_property	Main_property	主要属性		
2401	14	odd_number	Odd_number	奇数升级		
2402	14	even_numbers	Even_numbers	偶数升级		
2501	15	test095	Test095	街区1档		
2502	15	test096	Test096	街区2档		
2503	15	test097	Test097	街区3档		
2504	15	test098	Test098	街区4档		
2505	15	test099	Test099	街区5档		
2506	15	test100	Test100	街区6档		
2507	15	test101	Test101	街区7档		
2508	15	test102	Test102	街区8档		
2509	15	test103	Test103	街区9档		
2510	15	test104	Test104	街区10档		
2511	15	test105	Test105	城市1档		
2512	15	test106	Test106	城市2档		
2513	15	test107	Test107	城市3档		
2514	15	test108	Test108	城市4档		
2515	15	test109	Test109	城市5档		
2516	15	test110	Test110	城市6档		
2517	15	test111	Test111	城市7档		
2518	15	test112	Test112	城市8档		
2519	15	test113	Test113	城市9档		
2520	15	test114	Test114	城市10档		
2521	15	test115	Test115	国家1档		
2522	15	test116	Test116	国家2档		
2523	15	test117	Test117	国家3档		
2524	15	test118	Test118	国家4档		
2525	15	test119	Test119	国家5档		
2526	15	test120	Test120	国家6档		
2527	15	test121	Test121	国家7档		
2528	15	test122	Test122	国家8档		
2529	15	test123	Test123	国家9档		
2530	15	test124	Test124	国家10档		
2531	15	test125	Test125	全球1档		
2532	15	test126	Test126	全球2档		
2533	15	test127	Test127	全球3档		
2534	15	test128	Test128	全球4档		
2535	15	test129	Test129	全球5档		
2536	15	test130	Test130	全球6档		
2537	15	test131	Test131	全球7档		
2538	15	test132	Test132	全球8档		
2539	15	test133	Test133	全球9档		
2540	15	test134	Test134	全球10档		
2601	16	test135	Test135	歌舞_经验		
2602	16	test136	Test136	爱情_经验		
2603	16	test137	Test137	喜剧_经验		
2604	16	test138	Test138	叙事_经验		
2605	16	test139	Test139	动作_经验		
2606	16	test140	Test140	恐怖_经验		
2607	16	test141	Test141	动画_经验		
2608	16	test142	Test142	悬疑_经验		
