int	string	string	string	string
1037	ranking_list_instruction3	排行榜	奖励说明3	周日，根据排名奖励大量钻石和羽毛笔；第一名还拥有本服冠名权
1038	change_server_name	排行榜	修改服务器名称	请输入一个个性化的名称吧，每周只可修改一次哦！
1039	choose_cinema	影城签约	未选择签约影城	请选择一个影城进行签约
1040	movie_get_tips	拍摄	领取收益提示	最多只能有{0}部持续收益的电影，我们处理一下已经收益完毕的电影吧
1041	movie_story_coordination	拍摄	剧本契合提示	剧本不算难，应该可以演好
1042	movie_character_coordination	拍摄	角色契合提示	看同事演过这样的角色，应该没有问题
1043	movie_story_character_coordination	拍摄	剧本角色契合提示	剧本和角色看起来并不算难，应该不会出岔子
1044	movie_none_coordination	拍摄	剧本角色无契合	第一次拍摄这样的电影，好紧张好期待啊！
1049	movie_drop_tips	拍摄	电影掉落提示	这部电影票房{0}，我们获得了：
1050	movie_too_much	拍摄	玩家拍摄次数过多	拍了太多相似的电影了
1051	movie_critical1	拍摄	市场风向暴击1	演员太疲劳，影响了电影质量
1052	movie_critical2	拍摄	市场风向暴击2	最近市场上的同类电影似乎有点多
1053	movie_critical3	拍摄	市场风向暴击3	好像赶上了市场的潮流
1054	movie_critical4	拍摄	市场风向暴击4	突然间就火爆了起来
1060	movie_target_fail	拍摄	剧本目标未达成	拍摄目标没达成，无法获得影业协会颁发的奖励
1061	movie_big_sell_tips	拍摄	电影未大卖提示	因为电影没有大卖，收藏家协会不予颁发宝物奖励
1062	earnings_over	拍摄	持续收益结束提示	收益已结束（比赛档次越高，持续收益就越高）
1063	oscar_non_rank_tips	奥斯卡	票房未入榜提示	未进入前50名
1064	oscar_non_rank_tips2	奥斯卡	总票房未入榜提示	未进入前30名
1065	oscar_non_movie_tips	奥斯卡	未拍摄电影提示	没有拍摄电影
1066	oscar_non_bigsell_tips	奥斯卡	未大卖提示	没有大卖电影
1067	oscar_non_target_tips	奥斯卡	未完成目标提示	未达成目标
1068	block_upgrade_msg	街区	街区升档提示	比赛档次提升，获得奖励
1070	movie_big_sell1	拍摄	电影大卖报纸1	小制作大票房，{0}新片《{1}》剑指奥斯卡
1071	movie_big_sell2	拍摄	电影大卖报纸2	{0}和{1}擦出火花，{2}新片{3}大受欢迎
1072	movie_big_sell3	拍摄	电影大卖报纸3	{0}的新片{1}点燃市场
1080	oscar_non_actor	奥斯卡	奥斯卡男演员无提名	很遗憾，并未有演员参加最佳男演员的候选，所以我们将不会颁发该奖项
1081	oscar_non_actress	奥斯卡	奥斯卡女演员无提名	很遗憾，并未有演员参加最佳女演员的候选，所以我们将不会颁发该奖项
1082	oscar_non_performance	奥斯卡	奥斯卡最佳表演无提名	很遗憾，并未有电影参加最佳表演电影的候选，所以我们将不会颁发该奖项
1083	oscar_non_art	奥斯卡	奥斯卡最佳艺术无提名	很遗憾，并未有电影参加最佳艺术电影的候选，所以我们将不会颁发该奖项
1084	oscar_non_popular	奥斯卡	奥斯卡最受欢迎无提名	很遗憾，并未有电影参加最受欢迎电影的候选，所以我们将不会颁发该奖项
1085	oscar_actor	奥斯卡	奥斯卡最佳男演员	最佳男演员
1086	oscar_actress	奥斯卡	奥斯卡最佳女演员	最佳女演员
1087	oscar_performance	奥斯卡	奥斯卡最佳表演电影	最佳表演电影
1088	oscar_art	奥斯卡	奥斯卡最佳艺术电影	最佳艺术电影
1089	oscar_popular	奥斯卡	奥斯卡最受欢迎电影	最受欢迎电影
1090	oscar_forbid_movie	拍摄	奥斯卡前禁止拍摄电影	为保证公平，奥斯卡颁奖前5分钟禁止拍摄电影
1091	non_deletable_mail	邮件	没有可删除的邮件	没有可删除的邮件
1092	non_can_receive_mail	邮件	没有可领取的邮件	没有可领取的邮件
1093	non_mail	邮件	空邮箱	您的收件箱中没有邮件！
1094	story_target_tips	拍摄	剧本有目标	有剧本目标奖励
1095	story_non_target_tips	拍摄	剧本没有目标	没有目标奖励（需2星以上剧本）
1096	story_midia_tips	拍摄	媒体评价提示	评价越高，点赞数越多，电影节越容易获奖。（有时还能提升票房）
1097	null_id	合作	id无效	无效的id
1098	cooperated_player	合作	目标玩家已合作	该玩家已有合作伙伴！
1099	no_cooperation_num	合作	本周合作次数不足	本周合作伙伴太多了，请等待下周吧！
1100	no_cooperation_orders	合作	没有未完成的订单	没有未完成的订单
1101	relieve_cooperation	合作	解除合作	是否解除合作关系？\n注意：每周只能和三家不同的公司进行合作
1102	repetition_cooperation	合作	重复邀请	邀请已发送，请等待对方回应
1103	null_actor_send	仓库	赠送资产	请选择艺人
1104	build_confirm	建筑	建造确认	是否建造{0}？
1105	build_non_material	建筑	材料不足	{0}数量不足
1106	build_non_level	建筑	等级不足	需要公司等级{0}
1107	build_non_prebuilding	建筑	没有前置建筑	需要建造{0}{1}
1108	build_non_block	建筑	街区档次不足	需要提升到{0}
1109	build_be_builded	建筑	房间已建造提示	已建造
1110	movie_market_bad1	拍摄	剧本与市场观众对比差1	目前关于我们要拍摄的《{0}》的消息转发数量并不多，感觉题材和观众喜好有点不匹配
1111	movie_market_bad2	拍摄	剧本与市场观众对比差2	对我们准备拍摄的《{0}》的报道有点少，感觉和当前关注想看的有点偏差……
1112	movie_market_good1	拍摄	剧本和市场观众对比好1	很多观众打电话和我们确认是不是真的要拍《{0}》，感觉大家都很期待这个题材的电影！
1113	movie_market_good2	拍摄	剧本和市场观众对比好2	人气调查显示《{0}》的故事非常受欢迎！一定会大卖的！
1114	movie_actor_pay	拍摄	电影艺人报酬提示	拍摄《{0}》需要支付艺人薪酬：
1115	movie_mediavisit_tips	拍摄	艺人参加媒体访问提示	{0} {1} 参加 {2} ，电影期待值增加 {3}
1116	movie_type_addition	拍摄	电影熟练度加成	{0}电影熟练度
1117	movie_cinema_tips	拍摄	签约院线提示	您是本院线的{0}级合作伙伴，可以在我们旗下的{1}加影院上映
1118	movie_unlock_cinema_tips	拍摄	未签约院线提示	您没有与我们签约，不能在本院线上映（需提升至{0}）
1119	movie_market_feedback	拍摄	下映后市场反馈	当前市场喜好导致{0}票房提升
1120	movie_story_feedback	拍摄	下映后剧本反馈	有超过{0}的观众喜欢这个故事
1121	movie_shoottype_feedback	拍摄	下映后拍摄类型反馈	有{0}还认为{1}非常适合此故事
1122	movie_licence_tips	拍摄	许可证回复提示	今天的许可证已发放完毕，{0}后将会继续发放
1123	movie_type_tips	拍摄	拍摄类型提示	选择的类型：{0}
1124	movie_state_tips1	拍摄	拍摄1阶段提示	选择类型
1125	movie_state_tips2	拍摄	拍摄2阶段提示	媒体采访
1126	movie_state_tips3	拍摄	拍摄3阶段提示	杀青
1130	movie_midia_score_msg0	拍摄	媒体评分0-1	媒体评价只有{0}分，还需继续努力哦！
1131	movie_midia_score_msg1	拍摄	媒体评分1-2	媒体评价只有{0}分，还需继续努力哦！
1132	movie_midia_score_msg2	拍摄	媒体评分2-3	媒体评价只有{0}分，虽然不高，不过还可以对票房有一定期待！
1133	movie_midia_score_msg3	拍摄	媒体评分3-4	媒体评价只有{0}分，虽然不高，不过还可以对票房有一定期待！
1134	movie_midia_score_msg4	拍摄	媒体评分4-5	媒体评价有{0}分，我相信我们的票房一定不会低的！
1135	movie_midia_score_msg5	拍摄	媒体评分5-6	媒体评价有{0}分，我相信我们的票房一定不会低的！
1136	movie_midia_score_msg6	拍摄	媒体评分6-7	媒体评价居然有{0}分，电影的票房很可能会大卖哦！
1137	movie_midia_score_msg7	拍摄	媒体评分7-8	媒体评价居然有{0}分，电影的票房很可能会大卖哦！
1138	movie_midia_score_msg8	拍摄	媒体评分8-9	太厉害了！居然有{0}分，我们很可能会获得电影节奖项的提名！
1139	movie_midia_score_msg9	拍摄	媒体评分9-10	太棒了！这么高的分数，{0}分！肯定能拿下奥斯卡奖项吧！
1150	bag_own_actor_tips	仓库	拥有艺人提示	您已拥有此艺人！
1151	bag_no_compound_tips	仓库	合成物品不足提示	物品不足，还需要{0}个才能合成
1152	bag_no_compound_choose_tips	仓库	未选择合成提示	请选择要合成的数量
1153	bag_no_send_choose_tips	仓库	未选择赠送提示	请选择要赠送的数量
1154	bag_no_split_choose_tips	仓库	未选择拆分提示	请选择要拆分的数量
1155	bag_no_sell_choose_tips	仓库	未选择出售提示	请选择要出售的数量
2022	order_fail	订单	订单完成失败	需要装箱才能运输哦，点击一下箱子装箱吧
2023	order_complete	订单	查看未解锁的订单完成度	完成X次订单可打开
2024	order_received	订单	已领取的奖励提示	已领取过奖励
2025	order_npc_default	订单	npc默认提示	所有订单都有时间限制的/n所以收到订单要赶快完成哦
2026	business_countdown	公务	公务倒计时	新公务将在X秒后出现
2027	business_secretary	公务	自动批阅没有秘书	你还未拥有终身秘书，无法自动批阅
2028	business_down	公务	全部公务批阅完毕	今天所有公务已批阅完毕
2029	visit_countdown	探班	探班倒计时	一大波粉丝将在X秒后抵达
2030	visit_secretary	探班	自动接待没有秘书	你还未拥有终身秘书，无法自动接待
2031	visit_point	探班	探班操作提示	在楼层中找到指定艺人，点击艺人提醒有粉丝来访
2032	market_envoy_wrong1	市场	艺人国籍不对	我的国家不符合要求，无法担此重任
2033	market_envoy_wrong2	市场	艺人类型不对	我的类型不符合要求，无法担此重任
2034	market_envoy_wrong3	市场	艺人年龄不对	我的年龄不符合要求，无法担此重任
2035	market_envoy_wrong4	市场	艺人数值不达标	我的能力没达到要求，无法担此重任
2051	market_envoy_wrong5	市场	艺人性别不对	我的性别不符合要求，无法担此重任
2052	market_dollar_less	市场	美元不足	美元不足
2053	market_show_failure	市场	路演失败	路演失败，请升级艺人
2036	story_comment_wrong	剧本	留言内容非法	你的留言内容不符合要求
2037	thumbsup_less	剧本	点赞数不足	您的点赞数不足
2038	story_search_less	剧本	搜罗次数不足	剩余搜罗次数不足
2039	block_level_less	剧本	街区等级需求	立即搜罗需要升到街区3档
2040	story_cd_success	剧本	搜罗冷却加速成功	搜罗冷却加速成功
2041	meeting_time	会议	会议倒计时提示	{0}分{1}秒后有新的会议，请做好准备
2042	secretary_bought	秘书	本日已购买提示	你本日已购买过
2043	secretary_buy_fail	秘书	购买失败提示	购买失败
2044	sectrary_cannot_buy	秘书	未聘用秘书不能购买提示	未聘用终身秘书，不能购买该礼包
2045	daily_sign	签到	已签到提示	已签到
2046	setting_not_open	设置	功能未开放提示	功能未开放，敬请期待
2047	gift_success	设置	礼包兑换成功提示	礼包兑换成功
2048	gift_used	设置	礼包已被兑换提示	礼包已被兑换
2049	gift_illegal	设置	礼包码非法提示	礼包码非法
2050	shop_period	商城	购买非时间段内商品	请在X时间段内购买该商品
